,0,1,policy,action
519,0.6400000000000001,-0.21999999999999997,1,3
520,0.6200000000000001,-0.43999999999999995,0,5
521,0.6200000000000001,-0.43999999999999995,1,2
522,1.0,-0.56,0,2
523,1.0,-0.56,1,0
524,1.0,-0.24,0,4
525,1.0,-0.24,1,2
526,1.0,-0.17999999999999994,0,4
527,1.0,-0.17999999999999994,1,2
528,1.0,0.48,0,7
529,1.0,0.48,1,5
530,1.0,0.54,0,7
531,1.0,0.54,1,6
532,1.0,0.40000000000000013,0,7
533,1.0,0.40000000000000013,1,5
534,1.0,-0.5,0,2
535,1.0,-0.5,1,0
536,1.0,-0.040000000000000036,0,5
537,1.0,-0.040000000000000036,1,3
538,1.0,0.0,0,5
539,1.0,0.0,1,3
540,0.6200000000000001,-0.43999999999999995,0,5
541,0.6200000000000001,-0.43999999999999995,1,2
542,1.0,-0.12,0,4
543,1.0,-0.12,1,2
544,0.6600000000000001,0.08000000000000007,0,7
545,0.6600000000000001,0.08000000000000007,1,5
546,0.6400000000000001,-1.0,0,1
547,0.6400000000000001,-1.0,1,0
548,0.72,0.72,0,9
549,0.72,0.72,1,7
550,0.5800000000000001,-0.6799999999999999,0,4
551,0.5800000000000001,-0.6799999999999999,1,1
552,0.6400000000000001,-0.62,0,3
553,0.6400000000000001,-0.62,1,1
554,0.6400000000000001,-0.8200000000000001,0,2
555,0.6400000000000001,-0.8200000000000001,1,0
556,0.6400000000000001,0.8400000000000001,0,9
557,0.6400000000000001,0.8400000000000001,1,8
558,0.6200000000000001,0.020000000000000018,0,7
559,0.6200000000000001,0.020000000000000018,1,5
560,0.3600000000000001,-0.54,0,5
561,0.3600000000000001,-0.54,1,3
562,1.0,-0.72,0,1
563,1.0,-0.72,1,0
564,1.0,0.26,0,6
565,1.0,0.26,1,4
566,1.0,-0.5800000000000001,0,2
567,1.0,-0.5800000000000001,1,0
568,1.0,-0.07999999999999996,0,5
569,1.0,-0.07999999999999996,1,2
570,1.0,-0.94,0,0
571,1.0,-0.94,1,0
572,1.0,0.1200000000000001,0,5
573,1.0,0.1200000000000001,1,4
574,1.0,0.76,0,9
575,1.0,0.76,1,7
576,1.0,0.6000000000000001,0,8
577,1.0,0.6000000000000001,1,6
578,1.0,-0.07999999999999996,0,5
579,1.0,-0.07999999999999996,1,2
580,0.3600000000000001,-0.54,0,5
581,0.3600000000000001,-0.54,1,3
582,1.0,0.5800000000000001,0,8
583,1.0,0.5800000000000001,1,6
584,0.6799999999999999,0.41999999999999993,0,8
585,0.6799999999999999,0.41999999999999993,1,6
586,0.6400000000000001,-0.72,0,3
587,0.6400000000000001,-0.72,1,1
588,0.6400000000000001,0.54,0,9
589,0.6400000000000001,0.54,1,7
590,0.6600000000000001,-0.7,0,3
591,0.6600000000000001,-0.7,1,1
592,0.6400000000000001,-0.5,0,4
593,0.6400000000000001,-0.5,1,2
594,0.6400000000000001,0.06000000000000005,0,7
595,0.6400000000000001,0.06000000000000005,1,5
596,0.6400000000000001,0.6799999999999999,0,9
597,0.6400000000000001,0.6799999999999999,1,8
598,0.6000000000000001,0.15999999999999992,0,8
599,0.6000000000000001,0.15999999999999992,1,6
600,-0.42000000000000004,-0.12,0,9
601,-0.42000000000000004,-0.12,1,8
602,1.0,-0.26,0,4
603,1.0,-0.26,1,2
604,1.0,-0.56,0,2
605,1.0,-0.56,1,0
606,1.0,0.8200000000000001,0,9
607,1.0,0.8200000000000001,1,7
608,1.0,0.08000000000000007,0,5
609,1.0,0.08000000000000007,1,3
610,1.0,0.52,0,7
611,1.0,0.52,1,5
612,1.0,-0.76,0,1
613,1.0,-0.76,1,0
614,1.0,0.17999999999999994,0,6
615,1.0,0.17999999999999994,1,4
616,1.0,-0.48,0,2
617,1.0,-0.48,1,1
618,1.0,0.52,0,7
619,1.0,0.52,1,5
620,-0.42000000000000004,-0.12,0,9
621,-0.42000000000000004,-0.12,1,8
622,1.0,0.74,0,8
623,1.0,0.74,1,7
624,0.6799999999999999,-0.21999999999999997,0,5
625,0.6799999999999999,-0.21999999999999997,1,3
626,0.6400000000000001,-0.14,0,6
627,0.6400000000000001,-0.14,1,4
628,0.6400000000000001,0.52,0,9
629,0.6400000000000001,0.52,1,7
630,0.6600000000000001,-0.24,0,5
631,0.6600000000000001,-0.24,1,3
632,0.6400000000000001,0.8200000000000001,0,9
633,0.6400000000000001,0.8200000000000001,1,8
634,0.6200000000000001,0.3800000000000001,0,9
635,0.6200000000000001,0.3800000000000001,1,7
